"assignment","user","typeid","type","stepid","step","updatedon"
917,User_124,3,Submission,1,Analysis,2022-06-01 19:49:33
917,User_124,1,Current,2,Comparison,2022-06-01 19:49:33
917,User_124,3,Submission,2,Comparison,2022-06-01 19:57:29
918,User_124,3,Submission,1,Analysis,2022-06-01 19:58:50
1471,User_120,1,Current,2,Comparison,2022-06-08 23:19:08
918,User_124,1,Current,2,Comparison,2022-06-01 19:58:50
918,User_124,3,Submission,2,Comparison,2022-06-01 20:01:30
920,User_223,1,Current,1,Analysis,2022-06-01 20:24:23
920,User_223,3,Submission,1,Analysis,2022-06-01 20:24:27
919,User_124,3,Submission,1,Analysis,2022-06-01 20:49:03
919,User_124,1,Current,2,Comparison,2022-06-01 20:49:03
920,User_223,1,Current,2,Comparison,2022-06-01 21:03:39
920,User_223,3,Submission,2,Comparison,2022-06-01 21:03:44
921,User_223,1,Current,1,Analysis,2022-06-01 21:05:57
921,User_223,3,Submission,1,Analysis,2022-06-01 21:06:03
922,User_123,1,Current,1,Analysis,2022-06-02 00:04:11
922,User_123,3,Submission,1,Analysis,2022-06-02 00:05:20
922,User_123,1,Current,2,Comparison,2022-06-02 00:05:20
922,User_123,3,Submission,2,Comparison,2022-06-02 00:11:28
923,User_123,1,Current,1,Analysis,2022-06-02 00:23:37
923,User_123,3,Submission,1,Analysis,2022-06-02 00:23:43
923,User_123,1,Current,2,Comparison,2022-06-02 00:27:20
923,User_123,3,Submission,2,Comparison,2022-06-02 00:27:27
924,User_315,3,Submission,1,Analysis,2022-06-02 03:22:06
924,User_315,1,Current,2,Comparison,2022-06-02 03:22:06
924,User_315,3,Submission,2,Comparison,2022-06-02 03:27:23
925,User_315,3,Submission,1,Analysis,2022-06-02 03:33:01
928,User_315,3,Submission,2,Comparison,2022-06-02 03:50:38
930,User_225,1,Current,1,Analysis,2022-06-02 09:35:50
931,User_135,1,Current,1,Analysis,2022-06-02 14:35:00
931,User_135,3,Submission,1,Analysis,2022-06-02 14:35:51
932,User_130,3,Submission,1,Analysis,2022-06-02 14:41:20
932,User_130,1,Current,2,Comparison,2022-06-02 14:41:20
932,User_130,3,Submission,2,Comparison,2022-06-02 14:49:53
